 time        rmse ctl        rmse ana        rmse obs
    1          0.0165          0.1120          0.0448
    2          0.0153          0.0433          0.0553
    3          0.0685          0.0554          0.0458
    4          0.7566          0.1315          0.0497
    5          3.1765          0.4118          0.0545
    6          4.0538          0.8599          0.0504
    7          4.1739          1.3805          0.0532
    8          5.0303          1.5852          0.0507
    9          4.9321          1.5719          0.0481
   10          4.3785          0.8974          0.0551
   11          4.6240          0.9153          0.0473
   12          5.3309          0.9725          0.0480
   13          5.2715          0.9385          0.0522
   14          5.0181          0.7635          0.0479
   15          4.8892          0.7525          0.0500
   16          5.4951          1.3710          0.0500
   17          5.7810          1.4910          0.0480
   18          5.4652          1.4485          0.0504
   19          4.8293          1.3336          0.0515
   20          4.7651          1.1911          0.0576
   21          5.4487          1.0314          0.0613
